"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "JavaScript JSX", "CSS", "XML", "Django HTML", "Properties", "TypeScript JSX", "comment", "blank", "total"
"d:\Websites\Prescripto\Cloud Storage\next.config.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"d:\Websites\Prescripto\Cloud Storage\package-lock.json", "JSON", 0, 0, 7457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7458
"d:\Websites\Prescripto\Cloud Storage\package.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"d:\Websites\Prescripto\Cloud Storage\postcss.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\arrow-up.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\calendar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\close-dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\dashboard.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\delete.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\documents.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
