"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "Docker", "XML", "JavaScript JSX", "YAML", "JSON with Comments", "Properties", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"d:\Websites\Prescripto\website\backend\models\communityPostModel.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Websites\Prescripto\website\backend\models\contactModel.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 76
"d:\Websites\Prescripto\website\backend\models\couponModel.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\Websites\Prescripto\website\backend\models\doctorModel.js", "JavaScript", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 20, 208
"d:\Websites\Prescripto\website\backend\models\emergencyModel.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 86
"d:\Websites\Prescripto\website\backend\models\eventModel.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 94
"d:\Websites\Prescripto\website\backend\models\eventRSVPModel.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 96
"d:\Websites\Prescripto\website\backend\models\familyModel.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 56
"d:\Websites\Prescripto\website\backend\models\feedbackModel.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 64
"d:\Websites\Prescripto\website\backend\models\googleWalletPassModel.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 23, 157
"d:\Websites\Prescripto\website\backend\models\gpsLocationModel.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 55
"d:\Websites\Prescripto\website\backend\models\inventoryModel.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 80
"d:\Websites\Prescripto\website\backend\models\loginHistoryModel.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 40
"d:\Websites\Prescripto\website\backend\models\medicalFileModel.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"d:\Websites\Prescripto\website\backend\models\medicalQuestionnaireModel.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 62
"d:\Websites\Prescripto\website\backend\models\medicineModel.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 149
"d:\Websites\Prescripto\website\backend\models\notificationModel.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 60
"d:\Websites\Prescripto\website\backend\models\perioperativeChecklistModel.js", "JavaScript", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 225
"d:\Websites\Prescripto\website\backend\models\pharmacyModel.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 68
